Feature,Importance
INDEPEND,0.36615577
BILLS,0.2082401
TRAVEL,0.074421935
TAXES,0.05205304
EVENTS,0.023396717
SHOPPING,0.02111656
PAYATTN,0.01399734
SCHIZOIF,0.012973266
PTSDDXIF,0.012633042
NACCNOVS,0.011902521
GAMES,0.011764132
MEALPREP,0.011513642
ARTHRIT,0.009288465
NACCADC,0.008783078
INRELTO,0.007438617
ALCOCCAS,0.0070199873
NACCNVST,0.006916115
DEP2YRS,0.0068405517
RESIDENC,0.006812095
HISPOR,0.005891871
NACCDAYS,0.005696968
PACKET,0.005529489
APNEA,0.00516629
NACCFDYS,0.0051644524
HATTMULT,0.0051570297
ANXIETY,0.005126591
PRIMLANG,0.0050408263
RBD,0.004982305
BIRTHYR,0.0049325353
NACCAVST,0.0046761557
MARISTAT,0.0045157946
SMOKYRS,0.0044925776
NACCNRMO,0.004490745
SEX,0.0043352065
SCHIZOP,0.0043263743
EDUC,0.0042125843
INBIRYR,0.0041449433
INHISPOR,0.0041438392
PTSDDX,0.004049542
TIAMULT,0.0039757476
STOVE,0.0039509647
INBIRMO,0.0038859644
INCONTU,0.0037467182
STROKMUL,0.003707833
INCONTF,0.0036889843
BIRTHMO,0.0034062674
NACCNRYR,0.0032231372
NACCNRDY,0.001071204
