Feature,Importance
NACCADC,1284
BIRTHYR,789
INBIRYR,522
NACCDAYS,508
TAXES,322
TRAVEL,310
EDUC,293
SMOKYRS,288
EVENTS,287
INBIRMO,280
NACCNVST,270
GAMES,269
BILLS,257
INDEPEND,254
PTSDDXIF,247
SHOPPING,235
BIRTHMO,228
PAYATTN,207
NACCNOVS,201
MEALPREP,195
INRELTO,195
NACCAVST,181
MARISTAT,125
NACCFDYS,124
DEP2YRS,119
ARTHRIT,115
RESIDENC,101
HISPOR,88
STOVE,80
SCHIZOIF,78
SEX,72
PRIMLANG,68
APNEA,55
INHISPOR,51
INCONTU,50
ALCOCCAS,47
INCONTF,33
ANXIETY,31
NACCNRMO,31
PACKET,29
HATTMULT,23
RBD,21
TIAMULT,11
SCHIZOP,11
STROKMUL,7
PTSDDX,6
NACCNRYR,1
NACCNRDY,1
